strategy_mode,range_mode,center_mode,sd_multiplier,ewma_lambda,downside_skew,preemptive_rebalance,rebalance_threshold_pct,fixed_width_pct,fixed_tick_width,harvest_upward_range_fraction,profit_take_return,stop_loss_return,out_of_range_overshoot_fraction,min_exit_swap_volume_usd,exit_confirmation_swaps,exit_price_mode,exit_price_min_swap_volume_usd,initial_capital_usd,mint_gas_usd,remove_gas_usd,unwind_to_cash_on_exit,valid_window_count,robust_validation_score,mean_validation_net_return,median_validation_net_return,min_validation_net_return,worst_window_max_drawdown,worst_window_divergent_loss,positive_window_rate,validation_top_rank_rate,windows_won,mean_validation_total_fees,mean_validation_total_transaction_cost,mean_validation_rebalance_count,eligible
ewma,volatility,ewma,2.75,0.95,0.8,False,5.0,,,,,,,,1,spot,100.0,1200.0,,,False,1,0.004212042744625943,0.0021060213723129717,0.0021060213723129717,0.0021060213723129717,0.0,0.0021060213723129717,1.0,0.0,0,2.742305204793715,1.2431636728075839,2.0,True
ewma,volatility,ewma,2.5,0.95,0.5,False,10.0,,,,,,,,1,spot,100.0,1200.0,,,False,1,0.0039898722262961825,0.0024767942541550347,0.0024767942541550347,0.0024767942541550347,0.0004818581410069433,0.0024767942541550347,1.0,0.0,0,4.350514557541875,2.1362245564083917,4.0,True
ewma,volatility,ewma,1.0,0.95,0.3,False,15.0,,,,,,,,1,spot,100.0,1200.0,,,False,1,0.0036153427414122863,0.001823834544245173,0.001823834544245173,0.001823834544245173,1.6163173539029962e-05,0.001823834544245173,1.0,0.0,0,4.401452847257718,1.741513019476373,6.0,True
ewma,volatility,ewma,3.0,0.95,0.4,True,3.0,,,,,,,,1,spot,100.0,1200.0,,,False,1,0.0035057797956344096,0.0017669168601739393,0.0017669168601739393,0.0017669168601739393,1.4026962356734654e-05,0.0017669168601739393,1.0,0.0,0,4.5071227212382805,1.5091976588535188,2.0,True
ewma,volatility,ewma,2.75,0.95,0.5,True,3.0,,,,,,,,1,spot,100.0,1200.0,,,False,1,0.0034157947468121744,0.0017088135213452205,0.0017088135213452205,0.0017088135213452205,9.16147939133376e-07,0.0017088135213452205,1.0,0.0,0,4.55051011066828,1.8223970546450903,2.0,True
ewma,volatility,ewma,2.25,0.95,0.8,True,3.0,,,,,,,,1,spot,100.0,1200.0,,,False,2,0.0032511926925964385,0.001826233452781656,0.001826233452781656,0.0014249592398147826,0.0,0.0014249592398147826,1.0,0.0,0,2.548585515175847,1.434822774187552,5.0,True
ewma,volatility,ewma,3.0,0.95,0.5,True,3.0,,,,,,,,1,spot,100.0,1200.0,,,False,1,0.003095535810047337,0.0015594684284587768,0.0015594684284587768,0.0015594684284587768,1.1700523435108305e-05,0.0015594684284587768,1.0,0.0,0,3.883384947101995,1.4626884309994668,2.0,True
ewma,volatility,ewma,2.75,0.95,0.8,False,3.0,,,,,,,,1,spot,100.0,1200.0,,,False,1,0.0029177021121719795,0.001459544908924304,0.001459544908924304,0.001459544908924304,6.938528383142418e-07,0.001459544908924304,1.0,0.0,0,2.6910812771196873,1.589675569178629,3.0,True
ewma,volatility,ewma,2.75,0.975,0.7,True,1.0,,,,,,,,1,spot,100.0,1200.0,,,False,1,0.002849918479629565,0.0014249592398147826,0.0014249592398147826,0.0014249592398147826,0.0,0.0014249592398147826,1.0,1.0,1,2.065808228684246,1.8570604572544533,7.0,True
ewma,volatility,ewma,2.75,0.975,0.7,False,1.0,,,,,,,,1,spot,100.0,1200.0,,,False,1,0.002849918479629565,0.0014249592398147826,0.0014249592398147826,0.0014249592398147826,0.0,0.0014249592398147826,1.0,0.0,0,2.065808228684246,1.8570604572544533,7.0,True
ewma,volatility,ewma,2.75,0.975,0.8,True,1.0,,,,,,,,1,spot,100.0,1200.0,,,False,1,0.002849918479629565,0.0014249592398147826,0.0014249592398147826,0.0014249592398147826,0.0,0.0014249592398147826,1.0,0.0,0,2.065808228684246,1.8570604572544533,7.0,True
ewma,volatility,ewma,2.75,0.975,0.8,False,1.0,,,,,,,,1,spot,100.0,1200.0,,,False,1,0.002849918479629565,0.0014249592398147826,0.0014249592398147826,0.0014249592398147826,0.0,0.0014249592398147826,1.0,0.0,0,2.065808228684246,1.8570604572544533,7.0,True
ewma,volatility,ewma,2.75,0.975,0.8,True,5.0,,,,,,,,1,spot,100.0,1200.0,,,False,1,0.002849918479629565,0.0014249592398147826,0.0014249592398147826,0.0014249592398147826,0.0,0.0014249592398147826,1.0,0.0,0,2.065808228684246,1.8570604572544533,7.0,True
ewma,volatility,ewma,2.5,0.975,0.8,True,1.0,,,,,,,,1,spot,100.0,1200.0,,,False,1,0.002849918479629565,0.0014249592398147826,0.0014249592398147826,0.0014249592398147826,0.0,0.0014249592398147826,1.0,0.0,0,2.065808228684246,1.8570604572544533,7.0,True
ewma,volatility,ewma,2.5,0.975,0.8,False,1.0,,,,,,,,1,spot,100.0,1200.0,,,False,1,0.002849918479629565,0.0014249592398147826,0.0014249592398147826,0.0014249592398147826,0.0,0.0014249592398147826,1.0,0.0,0,2.065808228684246,1.8570604572544533,7.0,True
ewma,volatility,ewma,2.25,0.975,0.8,True,1.0,,,,,,,,1,spot,100.0,1200.0,,,False,1,0.002849918479629565,0.0014249592398147826,0.0014249592398147826,0.0014249592398147826,0.0,0.0014249592398147826,1.0,0.0,0,2.065808228684246,1.8570604572544533,7.0,True
ewma,volatility,ewma,2.25,0.975,0.8,False,1.0,,,,,,,,1,spot,100.0,1200.0,,,False,1,0.002849918479629565,0.0014249592398147826,0.0014249592398147826,0.0014249592398147826,0.0,0.0014249592398147826,1.0,0.0,0,2.065808228684246,1.8570604572544533,7.0,True
ewma,volatility,ewma,2.25,0.99,0.3,True,10.0,,,,,,,,1,spot,100.0,1200.0,,,False,1,0.002821361876588213,0.0014106809382941066,0.0014106809382941066,0.0014106809382941066,0.0,0.0014106809382941066,1.0,1.0,1,4.577041102934333,2.4188516318819646,14.0,True
ewma,volatility,ewma,2.5,0.95,0.8,False,3.0,,,,,,,,1,spot,100.0,1200.0,,,False,1,0.002766015057697643,0.001383839579410573,0.001383839579410573,0.001383839579410573,8.320505617515171e-07,0.001383839579410573,1.0,0.0,0,2.742226712126824,1.6425161550972445,3.0,True
ewma,volatility,ewma,3.0,0.95,0.7,True,5.0,,,,,,,,1,spot,100.0,1200.0,,,False,1,0.0025835262778656585,0.0012925279378535048,0.0012925279378535048,0.0012925279378535048,7.647989206756735e-07,0.0012925279378535048,1.0,0.0,0,3.9265772189511905,1.8223970546450903,2.0,True
ewma,volatility,ewma,3.0,0.95,0.4,True,5.0,,,,,,,,1,spot,100.0,1200.0,,,False,2,0.002558981565339735,0.0016844390246224528,0.0016844390246224528,0.0008745425407172824,0.0,0.0008745425407172824,1.0,0.0,0,3.2731525419125624,1.1767166849996604,0.5,True
ewma,volatility,ewma,2.75,0.95,0.3,True,15.0,,,,,,,,1,spot,100.0,1200.0,,,False,2,0.0025169868284453667,0.0016424442877280843,0.0016424442877280843,0.0008745425407172824,0.0,0.0008745425407172824,1.0,0.0,0,3.2731584052896423,1.2766707914260609,1.5,True
ewma,volatility,ewma,2.75,0.95,0.4,True,15.0,,,,,,,,1,spot,100.0,1200.0,,,False,2,0.0025169868284453667,0.0016424442877280843,0.0016424442877280843,0.0008745425407172824,0.0,0.0008745425407172824,1.0,0.0,0,3.2731584052896423,1.2766707914260609,1.5,True
ewma,volatility,ewma,3.0,0.95,0.4,True,15.0,,,,,,,,1,spot,100.0,1200.0,,,False,2,0.0025169868284453667,0.0016424442877280843,0.0016424442877280843,0.0008745425407172824,0.0,0.0008745425407172824,1.0,0.0,0,3.2731584052896423,1.2766707914260609,1.5,True
ewma,volatility,ewma,3.0,0.99,0.3,False,15.0,,,,,,,,1,spot,100.0,1200.0,,,False,1,0.002340183325462153,0.0011700916627310765,0.0011700916627310765,0.0011700916627310765,0.0,0.0011700916627310765,1.0,0.0,0,3.9699500095642835,2.2188516318819644,12.0,True
ewma,volatility,ewma,2.5,0.99,0.3,False,15.0,,,,,,,,1,spot,100.0,1200.0,,,False,1,0.002340183325462153,0.0011700916627310765,0.0011700916627310765,0.0011700916627310765,0.0,0.0011700916627310765,1.0,0.0,0,3.9699500095642835,2.2188516318819644,12.0,True
ewma,volatility,ewma,2.75,0.99,0.3,False,15.0,,,,,,,,1,spot,100.0,1200.0,,,False,1,0.002340183325462153,0.0011700916627310765,0.0011700916627310765,0.0011700916627310765,0.0,0.0011700916627310765,1.0,0.0,0,3.9699500095642835,2.2188516318819644,12.0,True
ewma,volatility,ewma,3.0,0.99,0.4,False,15.0,,,,,,,,1,spot,100.0,1200.0,,,False,1,0.002340183325462153,0.0011700916627310765,0.0011700916627310765,0.0011700916627310765,0.0,0.0011700916627310765,1.0,0.0,0,3.9699500095642835,2.2188516318819644,12.0,True
ewma,volatility,ewma,2.25,0.95,0.5,True,5.0,,,,,,,,1,spot,100.0,1200.0,,,False,2,0.0021055646582128773,0.0015333000555801668,0.0015333000555801668,0.0005722646026327105,0.0,0.0005722646026327105,1.0,0.5,1,2.2278336753654018,1.0698574469009006,0.5,True
ewma,volatility,ewma,2.5,0.95,0.5,True,5.0,,,,,,,,1,spot,100.0,1200.0,,,False,2,0.0021055646582128773,0.0015333000555801668,0.0015333000555801668,0.0005722646026327105,0.0,0.0005722646026327105,1.0,0.0,0,2.2278336753654018,1.0698574469009006,0.5,True
ewma,volatility,ewma,2.5,0.975,0.3,True,5.0,,,,,,,,1,spot,100.0,1200.0,,,False,2,0.0021055646582128773,0.0015333000555801668,0.0015333000555801668,0.0005722646026327105,0.0,0.0005722646026327105,1.0,0.0,0,2.2278336753654018,1.0698574469009006,0.5,True
ewma,volatility,ewma,2.75,0.95,0.6,True,5.0,,,,,,,,1,spot,100.0,1200.0,,,False,2,0.0021055646582128773,0.0015333000555801668,0.0015333000555801668,0.0005722646026327105,0.0,0.0005722646026327105,1.0,0.0,0,2.2278336753654018,1.0698574469009006,0.5,True
ewma,volatility,ewma,2.75,0.975,0.3,True,5.0,,,,,,,,1,spot,100.0,1200.0,,,False,2,0.0021055646582128773,0.0015333000555801668,0.0015333000555801668,0.0005722646026327105,0.0,0.0005722646026327105,1.0,0.0,0,2.2278336753654018,1.0698574469009006,0.5,True
ewma,volatility,ewma,1.0,0.975,0.3,False,15.0,,,,,,,,1,spot,100.0,1200.0,,,False,1,0.0020712871299056524,0.0010430903386355883,0.0010430903386355883,0.0010430903386355883,7.44677368276216e-06,0.0010430903386355883,1.0,0.0,0,4.0700927773465025,2.8004535280629694,14.0,True
ewma,volatility,ewma,3.0,0.99,0.3,False,10.0,,,,,,,,1,spot,100.0,1200.0,,,False,1,0.00200566940090674,0.00100283470045337,0.00100283470045337,0.00100283470045337,0.0,0.00100283470045337,1.0,0.0,0,3.969746607444934,2.4188516318819646,14.0,True
ewma,volatility,ewma,2.5,0.99,0.3,False,10.0,,,,,,,,1,spot,100.0,1200.0,,,False,1,0.00200566940090674,0.00100283470045337,0.00100283470045337,0.00100283470045337,0.0,0.00100283470045337,1.0,0.0,0,3.969746607444934,2.4188516318819646,14.0,True
ewma,volatility,ewma,3.0,0.99,0.4,False,10.0,,,,,,,,1,spot,100.0,1200.0,,,False,1,0.00200566940090674,0.00100283470045337,0.00100283470045337,0.00100283470045337,0.0,0.00100283470045337,1.0,0.0,0,3.969746607444934,2.4188516318819646,14.0,True
ewma,volatility,ewma,3.0,0.95,0.4,False,15.0,,,,,,,,1,spot,100.0,1200.0,,,False,1,0.001967011862705016,0.0020681029944444873,0.0020681029944444873,0.0020681029944444873,0.0010845970630919792,0.0020681029944444873,1.0,0.0,0,4.832381259120874,2.2827904508119534,2.0,True
ewma,volatility,ewma,3.0,0.95,0.4,False,10.0,,,,,,,,1,spot,100.0,1200.0,,,False,1,0.001967011862705016,0.0020681029944444873,0.0020681029944444873,0.0020681029944444873,0.0010845970630919792,0.0020681029944444873,1.0,0.0,0,4.832381259120874,2.2827904508119534,2.0,True
ewma,volatility,ewma,2.25,0.99,0.3,True,5.0,,,,,,,,1,spot,100.0,1200.0,,,False,1,0.0018176956784996534,0.0009088478392498267,0.0009088478392498267,0.0009088478392498267,0.0,0.0009088478392498267,1.0,0.0,0,4.576126738305736,3.018851631881965,20.0,True
ewma,volatility,ewma,2.5,0.95,0.3,True,15.0,,,,,,,,1,spot,100.0,1200.0,,,False,1,0.0017490850814345649,0.0008745425407172824,0.0008745425407172824,0.0008745425407172824,0.0,0.0008745425407172824,1.0,0.0,0,3.0024621950554327,1.292300297672639,0.0,True
ewma,volatility,ewma,2.25,0.95,0.4,True,5.0,,,,,,,,1,spot,100.0,1200.0,,,False,1,0.0017490850814345649,0.0008745425407172824,0.0008745425407172824,0.0008745425407172824,0.0,0.0008745425407172824,1.0,0.0,0,3.0024621950554327,1.292300297672639,0.0,True
ewma,volatility,ewma,2.5,0.95,0.3,True,5.0,,,,,,,,1,spot,100.0,1200.0,,,False,1,0.0017490850814345649,0.0008745425407172824,0.0008745425407172824,0.0008745425407172824,0.0,0.0008745425407172824,1.0,0.0,0,3.0024621950554327,1.292300297672639,0.0,True
ewma,volatility,ewma,2.75,0.95,0.3,True,5.0,,,,,,,,1,spot,100.0,1200.0,,,False,1,0.0017490850814345649,0.0008745425407172824,0.0008745425407172824,0.0008745425407172824,0.0,0.0008745425407172824,1.0,0.0,0,3.0024621950554327,1.292300297672639,0.0,True
ewma,volatility,ewma,2.75,0.95,0.3,True,3.0,,,,,,,,1,spot,100.0,1200.0,,,False,1,0.0017490850814345649,0.0008745425407172824,0.0008745425407172824,0.0008745425407172824,0.0,0.0008745425407172824,1.0,0.0,0,3.0024621950554327,1.292300297672639,0.0,True
ewma,volatility,ewma,2.25,0.95,0.3,True,15.0,,,,,,,,1,spot,100.0,1200.0,,,False,1,0.0017490850814345649,0.0008745425407172824,0.0008745425407172824,0.0008745425407172824,0.0,0.0008745425407172824,1.0,0.0,0,3.0024621950554327,1.292300297672639,0.0,True
ewma,volatility,ewma,2.5,0.95,0.3,True,10.0,,,,,,,,1,spot,100.0,1200.0,,,False,1,0.0017490850814345649,0.0008745425407172824,0.0008745425407172824,0.0008745425407172824,0.0,0.0008745425407172824,1.0,0.0,0,3.0024621950554327,1.292300297672639,0.0,True
ewma,volatility,ewma,2.5,0.95,0.7,True,3.0,,,,,,,,1,spot,100.0,1200.0,,,False,3,0.001471604445479413,0.0009661303273462707,0.0013462460828015388,0.00012718565942249072,9.136483723081736e-07,0.00012718565942249072,1.0,0.0,0,2.3289080278866496,1.6273234599086968,4.666666666666667,True
ewma,volatility,ewma,1.75,0.999,0.3,False,15.0,,,,,,,,1,spot,100.0,1200.0,,,False,2,0.0012829971812638452,0.0017313895744389685,0.0017313895744389685,0.0008759038410131037,0.0008828641561254846,0.0008759038410131037,1.0,0.0,0,2.1090985962520676,2.086477917104054,8.0,True
ewma,volatility,ewma,3.0,0.95,0.3,True,15.0,,,,,,,,1,spot,100.0,1200.0,,,False,3,0.0012400592501714026,0.0012183016805162132,0.0008745425407172824,0.00037001646609247096,4.499756638350692e-06,0.00037001646609247096,1.0,0.3333333333333333,1,2.3787232436775865,1.2322767337102032,1.0,True
ewma,volatility,ewma,2.75,0.95,0.4,False,15.0,,,,,,,,1,spot,100.0,1200.0,,,False,1,0.0011729228932014406,0.0018869659267377603,0.0018869659267377603,0.0018869659267377603,0.00130050448013704,0.0018869659267377603,1.0,0.0,0,5.133576985350358,2.3862496640954953,2.0,True
ewma,volatility,ewma,3.0,0.99,0.3,False,5.0,,,,,,,,1,spot,100.0,1200.0,,,False,1,0.0011695819898389637,0.0005847909949194818,0.0005847909949194818,0.0005847909949194818,0.0,0.0005847909949194818,1.0,0.0,0,3.969238222176372,2.918851631881965,19.0,True
ewma,volatility,ewma,3.0,0.99,0.3,True,5.0,,,,,,,,1,spot,100.0,1200.0,,,False,1,0.0011695819898389637,0.0005847909949194818,0.0005847909949194818,0.0005847909949194818,0.0,0.0005847909949194818,1.0,0.0,0,3.969238222176372,2.918851631881965,19.0,True
