strategy_mode,range_mode,center_mode,sd_multiplier,ewma_lambda,downside_skew,preemptive_rebalance,rebalance_threshold_pct,fixed_width_pct,fixed_tick_width,harvest_upward_range_fraction,profit_take_return,stop_loss_return,out_of_range_overshoot_fraction,min_exit_swap_volume_usd,exit_confirmation_swaps,exit_price_mode,exit_price_min_swap_volume_usd,initial_capital_usd,mint_gas_usd,remove_gas_usd,unwind_to_cash_on_exit,valid_window_count,robust_validation_score,mean_validation_net_return,median_validation_net_return,min_validation_net_return,worst_window_max_drawdown,worst_window_divergent_loss,positive_window_rate,validation_top_rank_rate,windows_won,mean_validation_total_fees,mean_validation_total_transaction_cost,mean_validation_fee_to_tx_cost_ratio,mean_validation_rebalance_count,eligible
ewma,volatility,ewma,3.0,0.99,0.4,False,15.0,,,,,,,,1,spot,100.0,1200.0,0.073,0.022,False,1,0.003154186101152631,0.00127776790049694,0.00127776790049694,0.00127776790049694,0.0,0.00127776790049694,1.0,0.0,0,3.9701478925848175,2.181806157496051,1.8196611458559437,12.0,True
ewma,volatility,ewma,1.0,0.975,0.3,False,15.0,,,,,,,,1,spot,100.0,1200.0,0.073,0.022,False,1,0.0030392278327602933,0.0013315379035292452,0.0013315379035292452,0.0013315379035292452,7.4467736827932544e-06,0.0013315379035292452,1.0,0.0,0,4.07102369306574,2.7534341554557753,1.478525892837944,14.0,True
ewma,volatility,ewma,3.0,0.99,0.3,False,10.0,,,,,,,,1,spot,100.0,1200.0,0.073,0.022,False,1,0.002752850490116348,0.001118873786333241,0.001118873786333241,0.001118873786333241,0.0,0.001118873786333241,1.0,0.0,0,3.9699546605714353,2.371806157496051,1.6738107572680272,14.0,True
ewma,volatility,ewma,2.5,0.99,0.3,False,10.0,,,,,,,,1,spot,100.0,1200.0,0.073,0.022,False,1,0.002752850490116348,0.001118873786333241,0.001118873786333241,0.001118873786333241,0.0,0.001118873786333241,1.0,0.0,0,3.9699546605714353,2.371806157496051,1.6738107572680272,14.0,True
ewma,volatility,ewma,3.0,0.99,0.4,False,10.0,,,,,,,,1,spot,100.0,1200.0,0.073,0.022,False,1,0.002752850490116348,0.001118873786333241,0.001118873786333241,0.001118873786333241,0.0,0.001118873786333241,1.0,0.0,0,3.9699546605714353,2.371806157496051,1.6738107572680272,14.0,True
ewma,volatility,ewma,2.25,0.99,0.3,True,5.0,,,,,,,,1,spot,100.0,1200.0,0.073,0.022,False,1,0.002541951772562543,0.0010500258587737843,0.0010500258587737843,0.0010500258587737843,0.0,0.0010500258587737843,1.0,0.0,0,4.576450908962925,2.9418061574960523,1.5556602522234901,20.0,True
ewma,volatility,ewma,3.0,0.95,0.3,True,15.0,,,,,,,,1,spot,100.0,1200.0,0.073,0.022,False,1,0.0025360960870127753,0.0008553627242311457,0.0008553627242311457,0.0008553627242311457,0.0,0.0008553627242311457,1.0,1.0,1,3.0024046586995166,1.3152712024174587,2.2827266750622375,0.0,True
ewma,volatility,ewma,2.5,0.95,0.3,True,15.0,,,,,,,,1,spot,100.0,1200.0,0.073,0.022,False,1,0.0025360960870127753,0.0008553627242311457,0.0008553627242311457,0.0008553627242311457,0.0,0.0008553627242311457,1.0,0.0,0,3.0024046586995166,1.3152712024174587,2.2827266750622375,0.0,True
ewma,volatility,ewma,2.75,0.95,0.3,True,15.0,,,,,,,,1,spot,100.0,1200.0,0.073,0.022,False,1,0.0025360960870127753,0.0008553627242311457,0.0008553627242311457,0.0008553627242311457,0.0,0.0008553627242311457,1.0,0.0,0,3.0024046586995166,1.3152712024174587,2.2827266750622375,0.0,True
ewma,volatility,ewma,2.75,0.95,0.4,True,15.0,,,,,,,,1,spot,100.0,1200.0,0.073,0.022,False,1,0.0025360960870127753,0.0008553627242311457,0.0008553627242311457,0.0008553627242311457,0.0,0.0008553627242311457,1.0,0.0,0,3.0024046586995166,1.3152712024174587,2.2827266750622375,0.0,True
ewma,volatility,ewma,2.5,0.95,0.3,False,15.0,,,,,,,,1,spot,100.0,1200.0,0.073,0.022,False,1,0.0025360960870127753,0.0008553627242311457,0.0008553627242311457,0.0008553627242311457,0.0,0.0008553627242311457,1.0,0.0,0,3.0024046586995166,1.3152712024174587,2.2827266750622375,0.0,True
ewma,volatility,ewma,2.75,0.95,0.3,False,15.0,,,,,,,,1,spot,100.0,1200.0,0.073,0.022,False,1,0.0025360960870127753,0.0008553627242311457,0.0008553627242311457,0.0008553627242311457,0.0,0.0008553627242311457,1.0,0.0,0,3.0024046586995166,1.3152712024174587,2.2827266750622375,0.0,True
ewma,volatility,ewma,3.0,0.95,0.4,True,15.0,,,,,,,,1,spot,100.0,1200.0,0.073,0.022,False,1,0.0025360960870127753,0.0008553627242311457,0.0008553627242311457,0.0008553627242311457,0.0,0.0008553627242311457,1.0,0.0,0,3.0024046586995166,1.3152712024174587,2.2827266750622375,0.0,True
ewma,volatility,ewma,2.25,0.95,0.3,False,10.0,,,,,,,,1,spot,100.0,1200.0,0.073,0.022,False,1,0.0025360960870127753,0.0008553627242311457,0.0008553627242311457,0.0008553627242311457,0.0,0.0008553627242311457,1.0,0.0,0,3.0024046586995166,1.3152712024174587,2.2827266750622375,0.0,True
ewma,volatility,ewma,2.75,0.95,0.3,True,3.0,,,,,,,,1,spot,100.0,1200.0,0.073,0.022,False,1,0.0025360960870127753,0.0008553627242311457,0.0008553627242311457,0.0008553627242311457,0.0,0.0008553627242311457,1.0,0.0,0,3.0024046586995166,1.3152712024174587,2.2827266750622375,0.0,True
ewma,volatility,ewma,2.5,0.975,0.5,False,15.0,,,,,,,,1,spot,100.0,1200.0,0.073,0.022,False,2,0.0022623032455590477,0.0016369188329545814,0.0016369188329545814,0.000758732131722839,0.0006625742471123248,0.000758732131722839,1.0,0.0,0,2.924242840047035,1.234877792295433,2.368042293975789,0.0,True
ewma,volatility,ewma,1.75,0.975,0.3,False,15.0,,,,,,,,1,spot,100.0,1200.0,0.073,0.022,False,2,0.0019184848180922648,0.001686472637631664,0.001686472637631664,0.0008578397410770044,0.0009020146991087774,0.0008578397410770044,1.0,0.5,1,2.7068313686430665,1.2790695365951592,2.116250361062122,0.5,True
ewma,volatility,ewma,2.0,0.975,0.3,False,15.0,,,,,,,,1,spot,100.0,1200.0,0.073,0.022,False,2,0.0019184848180922648,0.001686472637631664,0.001686472637631664,0.0008578397410770044,0.0009020146991087774,0.0008578397410770044,1.0,0.0,0,2.7068313686430665,1.2790695365951592,2.116250361062122,0.5,True
ewma,volatility,ewma,2.0,0.975,0.4,False,15.0,,,,,,,,1,spot,100.0,1200.0,0.073,0.022,False,2,0.0019184848180922648,0.001686472637631664,0.001686472637631664,0.0008578397410770044,0.0009020146991087774,0.0008578397410770044,1.0,0.0,0,2.7068313686430665,1.2790695365951592,2.116250361062122,0.5,True
ewma,volatility,ewma,2.5,0.95,0.7,True,3.0,,,,,,,,1,spot,100.0,1200.0,0.073,0.022,False,3,0.0018825666022357266,0.0010495457397616814,0.0013782171041494262,0.0002013700329679402,9.136483719781036e-07,0.0002013700329679402,1.0,0.0,0,2.3289579861682337,1.6269209808829306,1.4315126632052575,4.666666666666667,True
ewma,volatility,ewma,3.0,0.99,0.3,False,5.0,,,,,,,,1,spot,100.0,1200.0,0.073,0.022,False,1,0.0017758998241864865,0.0007217322660766357,0.0007217322660766357,0.0007217322660766357,0.0,0.0007217322660766357,1.0,0.0,0,3.9694716945663027,2.846806157496052,1.3943596700864616,19.0,True
ewma,volatility,ewma,2.5,0.99,0.3,False,5.0,,,,,,,,1,spot,100.0,1200.0,0.073,0.022,False,1,0.0017758998241864865,0.0007217322660766357,0.0007217322660766357,0.0007217322660766357,0.0,0.0007217322660766357,1.0,0.0,0,3.9694716945663027,2.846806157496052,1.3943596700864616,19.0,True
ewma,volatility,ewma,3.0,0.99,0.3,True,5.0,,,,,,,,1,spot,100.0,1200.0,0.073,0.022,False,1,0.0017758998241864865,0.0007217322660766357,0.0007217322660766357,0.0007217322660766357,0.0,0.0007217322660766357,1.0,0.0,0,3.9694716945663027,2.846806157496052,1.3943596700864616,19.0,True
